time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T19:31:34Z,NaN,NaN,NaN,1024.6487
2024-08-05T19:31:42Z,NaN,-0.457276,NaN,1024.6487
2024-08-05T19:31:50Z,NaN,NaN,NaN,1024.6145
2024-08-05T19:31:54Z,NaN,NaN,2.48013,1024.604
2024-08-05T19:32:06Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:10Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:13Z,NaN,NaN,NaN,1024.5923
2024-08-05T19:32:20Z,NaN,NaN,NaN,1024.5806
2024-08-05T19:32:22Z,NaN,0.321141,NaN,NaN
2024-08-05T19:32:27Z,NaN,NaN,NaN,1024.5695
2024-08-05T19:32:30Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:34Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:38Z,NaN,NaN,NaN,1024.5403
2024-08-05T19:32:41Z,NaN,NaN,NaN,1024.4563
2024-08-05T19:32:42Z,NaN,NaN,1.67072,1024.3427
2024-08-05T19:32:48Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:50Z,NaN,NaN,NaN,NaN
2024-08-05T19:32:55Z,NaN,NaN,NaN,1024.3102
2024-08-05T19:33:02Z,NaN,NaN,NaN,1024.1898
2024-08-05T19:33:02Z,NaN,0.469494,NaN,1023.38574
2024-08-05T19:33:09Z,NaN,NaN,NaN,1022.7153
2024-08-05T19:33:10Z,NaN,NaN,NaN,NaN
2024-08-05T19:33:16Z,NaN,NaN,NaN,NaN
2024-08-05T19:33:23Z,NaN,NaN,NaN,1021.71405
2024-08-05T19:33:30Z,NaN,NaN,NaN,NaN
2024-08-05T19:33:30Z,NaN,NaN,0.566763,1021.3074
2024-08-05T19:33:34Z,NaN,NaN,NaN,NaN
2024-08-05T19:33:37Z,NaN,NaN,NaN,1021.2656
2024-08-05T19:33:42Z,NaN,NaN,NaN,1021.255
2024-08-05T19:33:44Z,NaN,NaN,NaN,1021.3261
2024-08-05T19:33:47Z,NaN,NaN,NaN,NaN
2024-08-05T19:34:15Z,NaN,NaN,NaN,NaN
2024-08-05T19:34:19Z,NaN,NaN,0.390501,NaN
2024-08-05T19:34:23Z,NaN,-0.263545,NaN,NaN
2024-08-05T19:34:27Z,NaN,NaN,NaN,NaN
2024-08-05T19:34:39Z,NaN,NaN,NaN,NaN
2024-08-05T19:34:51Z,NaN,NaN,NaN,NaN
2024-08-05T19:35:07Z,NaN,NaN,1.20455,NaN
2024-08-05T19:35:15Z,NaN,NaN,NaN,NaN
2024-08-05T19:35:27Z,NaN,NaN,NaN,NaN
2024-08-05T19:35:55Z,NaN,NaN,1.98382,NaN
2024-08-05T19:36:15Z,NaN,NaN,NaN,NaN
2024-08-05T19:36:43Z,NaN,NaN,2.37577,NaN
2024-08-05T19:37:03Z,NaN,NaN,NaN,NaN
